,Date,Open,High,Low,Close,Adj.Close,Volume
0,18 Nov 2020,118.61,119.82,118.00,118.03,118.03,"76,169,900"
1,17 Nov 2020,119.55,120.67,118.96,119.39,119.39,"74,271,000"
2,16 Nov 2020,118.92,120.99,118.15,120.30,120.30,"91,183,000"
3,13 Nov 2020,119.44,119.67,117.87,119.26,119.26,"81,581,900"
4,12 Nov 2020,119.62,120.53,118.57,119.21,119.21,"103,162,300"
5,11 Nov 2020,117.19,119.63,116.44,119.49,119.49,"112,295,000"
6,10 Nov 2020,115.55,117.59,114.13,115.97,115.97,"138,023,400"
7,09 Nov 2020,120.50,121.99,116.05,116.32,116.32,"154,515,300"
8,06 Nov 2020,118.32,119.20,116.13,118.69,118.69,"114,457,900"
9,05 Nov 2020,117.95,119.62,116.87,119.03,118.82,"126,387,100"
10,04 Nov 2020,114.14,115.59,112.35,114.95,114.75,"138,235,500"
11,03 Nov 2020,109.66,111.49,108.73,110.44,110.25,"107,624,400"
12,02 Nov 2020,109.11,110.68,107.32,108.77,108.58,"122,866,900"
13,30 Oct 2020,111.06,111.99,107.72,108.86,108.67,"190,272,600"
14,29 Oct 2020,112.37,116.93,112.20,115.32,115.12,"146,129,200"
15,28 Oct 2020,115.05,115.43,111.10,111.20,111.01,"143,937,800"
16,27 Oct 2020,115.49,117.28,114.54,116.60,116.40,"92,276,800"
17,26 Oct 2020,114.01,116.55,112.88,115.05,114.85,"111,850,700"
18,23 Oct 2020,116.39,116.55,114.28,115.04,114.84,"82,572,600"
19,22 Oct 2020,117.45,118.04,114.59,115.75,115.55,"101,988,000"
20,21 Oct 2020,116.67,118.71,116.45,116.87,116.67,"89,946,000"
21,20 Oct 2020,116.20,118.98,115.63,117.51,117.31,"124,423,700"
22,19 Oct 2020,119.96,120.42,115.66,115.98,115.78,"120,639,300"
23,16 Oct 2020,121.28,121.55,118.81,119.02,118.82,"115,393,800"
24,15 Oct 2020,118.72,121.20,118.15,120.71,120.50,"112,559,200"
25,14 Oct 2020,121.00,123.03,119.62,121.19,120.98,"151,062,300"
26,13 Oct 2020,125.27,125.39,119.65,121.10,120.89,"262,330,500"
27,12 Oct 2020,120.06,125.18,119.28,124.40,124.19,"240,226,800"
28,09 Oct 2020,115.28,117.00,114.92,116.97,116.77,"100,506,900"
29,08 Oct 2020,116.25,116.40,114.59,114.97,114.77,"83,477,200"
30,07 Oct 2020,114.62,115.55,114.13,115.08,114.88,"96,849,000"
31,06 Oct 2020,115.70,116.12,112.25,113.16,112.97,"161,498,200"
32,05 Oct 2020,113.91,116.65,113.55,116.50,116.30,"106,243,800"
33,02 Oct 2020,112.89,115.37,112.22,113.02,112.83,"144,712,000"
34,01 Oct 2020,117.64,117.72,115.83,116.79,116.59,"116,120,400"
