,Stock_Symbol,Stock_Name,Stock_Price($),Stock_Volume($),Stock_Industry_Category,TRttm,TR2019,TR2018,TR2017,TR2016,CRttm,CR2019,CR2018,CR2017,CR2016,GPttm,GP2019,GP2018,GP2017,GP2016,NIttm,NI2019,NI2018,NI2017,NI2016,TA2019,TA2018,TA2017,TA2016
0,PTR,PetroChina Company Limited,32.47,"86,624",Energy,"2,12,85,78,000","2,51,68,10,000","2,35,35,88,000","2,01,58,90,000","1,61,69,03,000","1,65,22,28,000","1,92,30,96,000","1,77,09,39,000","1,52,30,91,000","1,17,77,87,000","47,63,50,000","59,37,14,000","58,26,49,000","49,27,99,000","43,91,16,000","1,84,96,000","4,56,82,000","5,25,91,000","2,27,98,000","78,57,000","2,73,29,10,000","2,43,22,66,000","2,40,46,12,000","2,39,66,51,000"
1,XOM,Exxon Mobil Corporation,37.21,29.988M,Energy,"19,58,60,000","25,55,83,000","27,93,32,000","23,71,62,000","21,86,08,000","15,72,92,000","19,96,25,000","21,15,99,000","18,22,38,000","17,94,96,000","3,85,68,000","5,59,58,000","6,77,33,000","5,49,24,000","3,91,12,000","33,20,000","1,43,40,000","2,08,40,000","1,97,10,000","78,40,000","36,25,97,000","34,61,96,000","34,86,91,000","33,03,14,000"
2,CVX,Chevron Corporation,84.28,10.263M,Energy,"10,42,02,000","13,98,65,000","15,89,02,000","13,46,74,000","11,02,15,000","8,82,45,000","10,93,31,000","11,39,97,000","9,51,14,000","7,87,78,000","1,59,57,000","3,05,34,000","4,49,05,000","3,95,60,000","3,14,37,000",0,"29,24,000","1,48,24,000","91,95,000",0,"23,74,28,000","25,38,63,000","25,38,06,000","26,00,78,000"
3,RDS0.0A,Royal Dutch Shell plc,32.99,4.923M,Energy,"22,05,60,000","34,48,77,000","38,83,79,000","30,51,79,000","23,35,91,000","22,58,06,000","30,81,22,000","34,35,04,000","27,63,22,000","21,60,01,000",0,"3,67,55,000","4,48,75,000","2,88,57,000","1,75,90,000",0,"1,58,42,000","2,33,52,000","1,29,77,000","45,75,000","40,43,36,000","39,91,94,000","40,70,97,000","41,12,75,000"
4,SNP,China Petroleum & Chemical Corporation,46.23,"1,48,157",Energy,"2,28,75,05,000","2,96,61,93,000","2,89,11,79,000","2,36,01,93,000","1,93,09,11,000","1,87,69,65,000","2,48,97,19,000","2,40,29,50,000","1,88,59,61,000","1,48,81,16,000","41,05,40,000","47,64,74,000","48,82,29,000","47,42,32,000","44,27,95,000","4,85,83,000","7,20,33,000","7,88,97,000","7,04,18,000","5,94,44,000","1,75,50,71,000","1,59,23,08,000","1,59,55,04,000","1,49,86,09,000"
5,BP,BP p.l.c.,19.56,14.85M,Energy,"27,17,26,000","27,83,97,000","29,87,56,000","24,02,08,000","18,30,08,000","25,15,40,000","25,08,14,000","26,98,76,000","22,13,04,000","17,64,84,000","2,01,86,000","2,75,83,000","2,88,80,000","1,89,04,000","65,24,000",0,"40,25,000","93,82,000","33,88,000","1,14,000","29,51,94,000","28,21,76,000","27,65,15,000","26,33,16,000"
6,TOT,TOTAL SE,40.61,2.149M,Energy,"17,62,49,000","17,62,49,000","18,41,06,000","14,90,99,000","12,79,25,000","13,19,52,000","13,19,52,000","13,98,08,000","11,55,14,000","9,69,00,000","4,42,97,000","4,42,97,000","4,42,98,000","3,35,85,000","3,10,25,000","1,12,67,000","1,12,67,000","1,14,46,000","86,31,000","61,96,000","27,32,94,000","25,67,62,000","24,26,31,000","23,09,78,000"
7,SLB,Schlumberger Limited,19.97,15.196M,Energy,"2,62,97,000","3,29,17,000","3,28,15,000","3,04,40,000","2,78,10,000","2,32,98,000","2,87,20,000","2,84,78,000","2,65,43,000","2,41,10,000","29,99,000","41,97,000","43,37,000","38,97,000","37,00,000",0,0,"21,77,000",0,0,"5,63,12,000","7,05,07,000","7,19,87,000","7,79,56,000"
8,KMI,"Kinder Morgan, Inc.",13.76,20.003M,Energy,"1,19,37,000","1,32,09,000","1,41,44,000","1,37,05,000","1,30,58,000","48,32,000","56,74,000","67,18,000","66,06,000","57,07,000","71,05,000","75,35,000","74,26,000","70,99,000","73,51,000","1,22,000","21,90,000","16,09,000","1,83,000","7,08,000","2,14,51,000","2,19,65,000","2,21,62,000","2,21,52,000"
9,COP,ConocoPhillips,39.18,23.094M,Energy,"2,10,01,000","3,25,67,000","3,64,17,000","2,91,06,000","2,36,93,000","1,83,66,000","2,32,54,000","2,54,63,000","2,44,93,000","2,47,23,000","26,35,000","93,13,000","1,09,54,000","46,13,000",0,0,"71,89,000","62,57,000",0,0,"7,05,14,000","6,99,80,000","7,33,62,000","8,97,72,000"
10,CEO,CNOOC Limited,114.72,"1,10,387",Energy,"20,28,84,000","23,76,31,000","23,11,78,000","18,96,16,000","14,88,88,000","8,65,83,000","9,20,65,000","9,10,12,000","9,21,81,000","9,03,23,000","11,63,01,000","14,55,66,000","14,01,66,000","9,74,35,000","5,85,65,000","4,11,40,000","6,10,45,000","5,26,88,000","2,46,77,000","6,37,000","75,77,31,000","67,87,79,000","61,72,19,000","63,76,81,000"
11,E,Eni S.p.A.,19.12,"4,27,757",Energy,"6,51,66,000","6,98,81,000","7,58,22,000","6,69,19,000","5,57,62,000","5,72,46,000","5,89,80,000","6,26,10,000","5,99,44,000","5,16,83,000","79,20,000","1,09,01,000","1,32,12,000","69,75,000","40,79,000",0,"1,48,000","41,26,000","33,74,000",0,"12,34,40,000","11,83,73,000","11,49,28,000","12,45,45,000"
12,STO,426673,0,0,Energy,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0
