,StoryHeadlines,Story_in_Detail,Category
0,Incoming Biden presidency exposes old French-German rift on defence,"The German defence minister's warning against the ""illusions"" of pursuing European defence autonomy rattled French President Emmanuel Macron so much that her comments became a topic of discussion at a cabinet meeting this month in Paris.  In a robustly Atlanticist column published by Politico on Nov. 2, on the eve of the U.S. presidential election, Germany's Annegret Kramp-Karrenbauer said Europe would remain dependent on Washington for its defence for a long time to come.  Macron, a champion of European ""strategic autonomy"", said he was ""in complete disagreement"" with the German minister, arguing that the United States would only respect a Europe that was more self-reliant in defence.",Live News
1,Some Russian hospitals face shortages of COVID-19 drugs,"Some Russian hospitals are experiencing serious shortages of drugs used to treat COVID-19 and cannot restock because of panic buying, high demand and problems with a new labelling system, officials, distributors and doctors said.  Russia, which has reported the world's fifth-highest number of COVID-19 cases, is -- like many other countries -- struggling to cope with a second wave of the disease and the healthcare system outside Moscow is close to breaking point.  Doctors in over a dozen regions face big shortages of antibiotics, antiviral drugs and other medicines used to treat COVID-9, three local officials and three drugs vendors told Reuters.",Live News
2,"China foreign minister to visit South Korea amid hopes for Xi trip, North Korea talks","China's foreign minister will visit Seoul next week for meetings with officials there, South Korea's foreign ministry said on Friday, amid efforts to resume bilateral summit diplomacy and stalled nuclear talks involving North Korea.  Wang Yi will arrive in South Korea on Wednesday for a three-day stay and meet his counterpart Kang Kyung-wha for a high-level bilateral exchange and to discuss regional issues including North Korea and the COVID-19 outbreak, the ministry said in a statement.",Live News
3,Serbian Orthodox Patriarch dies of Covid-19,"Patriarch Irinej, the head of the Serbian Orthodox Church, died of coronavirus on Friday, three weeks after his unofficial second-in-command also succumbed to Covid-19, the church said.",Live News
4,"UK may ease Christmas rules as COVID cases start to flatten, minister says","There are signs that coronavirus cases in Britain are starting to flatten as a result of current lockdowns, health minister Matt Hancock said, paving the way for a Christmas period with less stringent restrictions.  ""There are encouraging signs that the number of cases is starting to flatten, and that the lockdown that we brought in, earlier this month, is working,"" Hancock told Sky News, adding that a UK-wide approach to rules for Christmas was being worked on.  ""It of course won't be like a normal Christmas, there will have to be rules in place, but we hope that they'll allow for a bit more of that normal Christmas that people really look forward to.""",Live News
5,Colleagues defend 'kind' UK minister Priti Patel over bullying report,"Colleagues defended British interior minister Priti Patel on Friday after the BBC and other media reported that an inquiry looking into claims of bullying against her concluded she had broken ministerial rules.  Prime Minister Boris Johnson asked officials in March to carry out the inquiry to ""establish the facts"" after allegations were raised against Patel, one of the most senior ministers in the government.  That followed the resignation of Philip Rutnam, the top official in the interior ministry, who alleged Patel had been guilty of bullying staff.",Live News
6,Patriarch of Serbian Orthodox Church dies of coronavirus,"Patriarch Irinej, the head of the Serbian Orthodox Church, has died after contracting the coronavirus, President Aleksandar Vucic said on Friday.  Irinej, 90, a conservative who wielded major political influence, was diagnosed with the virus on Nov. 4 and had been in a military hospital in the capital Belgrade since then.  He tested positive after attending the Nov 1 funeral of Metropolitan Amfilohije, the most senior cleric of the Serbian Orthodox Church in Montenegro, who also died from COVID-19.",Live News
7,US curbs ramped up as emergency vaccine request to be filed,"Americans were on Friday facing a growing raft of coronavirus restrictions, even as pharma giant Pfizer and partner BioNTech prepared to file an emergency request to roll out their vaccine.",Live News
8,Trump to host Michigan lawmakers as he presses dubious effort to overturn election,"President Donald Trump will meet with the Republican leaders of the Michigan state legislature on Friday at the White House, as his campaign pursues an increasingly desperate bid to overturn the Nov. 3 election amid a series of courtroom losses.  Meanwhile, President-elect Joe Biden is scheduled to meet with the Democratic leaders in Congress, House of Representatives Speaker Nancy Pelosi and Senate Minority Leader Chuck Schumer, after spending most of the week huddled with advisers as he plans his administration.  The Trump campaign's latest strategy, as described by three people familiar with the plan, is to convince Republican-controlled legislatures in battleground states that Biden won, such as Michigan and Pennsylvania, to undermine the election results and deliver those states to the Republican president's corner.",Live News
9,Families of Hong Kongers held in China cast doubt on prison letters,Relatives of 12 Hong Kong democracy activists detained in mainland China said Friday that letters from their loved ones praising their treatment and urging their families to stay quiet about their plight were likely written under duress.,Live News
10,China maintains ban on Boeing 737 MAX flights,"China's aviation regulator will not yet allow Boeing's troubled 737 MAX jet to fly in the company's biggest market owing to lingering safety concerns, despite the US lifting a ban on commercial flights.",Live News
11,U.S. puts convicted killer to death in eighth federal execution under Trump,"The U.S. government put convicted rapist and murderer Orlando Hall to death by lethal injection on Thursday, the eighth execution under the Trump administration since capital punishment was reinstated at the federal level over the summer.  Hall, 49, was pronounced dead at 11:47 p.m. EST after officials at the U.S. Bureau of Prisons administered him a fatal dose of the barbiturate pentobarbital at the bureau's execution chamber in Terre Haute, Indiana, the agency said.  Hall was the second African-American man to be executed by lethal injection on federal death row in recent months.",Live News
12,"Ethiopia's Tigray forces fire rockets into city, no casualties","Forces from Ethiopia's rebel Tigray region fired rockets on Friday into the city of Bahir Dar in the neighbouring Amhara region but caused no casualties or damage, the Amhara government said, as federal forces moved towards the Tigray capital.  The conflict in northern Ethiopia has killed hundreds over the past two weeks, sent 33,000 refugees into Sudan, and thrown into question whether Prime Minister Abiy Ahmed can hold his ethnically divided nation together ahead of elections next year.",Live News
